31.12.2014,4,private,withdraw,1200.00,EUR
01.01.2015,4,private,withdraw,1000.00,EUR
05.01.2016,4,private,withdraw,1000.00,EUR
05.01.2016,1,private,deposit,200.00,EUR
06.01.2016,2,business,withdraw,300.00,EUR
06.01.2016,1,private,withdraw,30000,JPY
07.01.2016,1,private,withdraw,1000.00,EUR
07.01.2016,1,private,withdraw,100.00,USD
10.01.2016,1,private,withdraw,100.00,EUR
10.01.2016,2,business,deposit,10000.00,EUR
10.01.2016,3,private,withdraw,1000.00,EUR
15.02.2016,1,private,withdraw,300.00,EUR
19.02.2016,5,private,withdraw,3000000,JPY
